구분별(2),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
구분별(2),1년 생존율,2년 생존율,3년 생존율,4년 생존율,5년 생존율,1년 생존율,2년 생존율,3년 생존율,4년 생존율,5년 생존율,1년 생존율,2년 생존율,3년 생존율,4년 생존율,5년 생존율
소계,70.8,56,46.8,39.2,37.7,78.6,64.5,54.7,46.9,40,70.6,59.5,49.9,42.3,37.4
한식 일반 음식점업,61.8,44.1,32.3,24.1,22.5,73.1,53.9,43.1,32.8,24.8,68.9,49.1,37.8,30.7,23.4
한식 면 요리 전문점,72.7,49.8,57.6,55.9,65.8,82.1,65.3,47.5,55.6,55.6,75.3,61.1,50.1,34.6,42.9
한식 육류 요리 전문점,76.9,58,60.4,62.4,64.2,83.3,66.4,55.9,56.7,58.6,77.9,61.4,49.1,40.3,43.1
한식 해산물 요리 전문점,70.6,50.8,56.7,63,65.1,82.6,64.1,50.4,52.9,62.6,77.2,62.8,47.9,37.5,43.4
중식 음식점업,70.5,57.9,38.4,29.2,27.7,76.1,61.2,54.5,37.9,28.8,70.4,54.1,45.5,40.6,27.3
일식 음식점업,71.8,59,43.2,36,34,77.6,60.2,56.2,42.1,34.2,76.4,60.1,47,41.8,32.4
서양식 음식점업,69.8,56.6,39.4,30,25.9,79.5,58.9,53.4,39.2,29.8,73.3,53.3,42,44,29.4
기타 외국식 음식점업,71,55,52.5,40.7,42.2,80.6,60.6,49.8,49.2,40.5,76.1,61.1,43,35.7,37.8
제과점업,74.5,59.5,52,45.3,42.6,83.6,63.7,57,50.8,44.6,78.8,60.8,47.9,44.3,42.1
피자 햄버거 샌드위치 및 유사 음식점업,76.4,54.3,48,44.2,39.6,79.9,65.7,52.4,47.1,44.5,74.6,55.5,48,40.6,38.9
치킨 전문점,69.8,50.7,36.5,31.1,28.8,78.5,58.6,48.9,36.3,31.9,68.8,52.4,42.4,34.7,26.7
김밥 및 기타 간이 음식점업,63.4,46.5,34.5,25.6,27.3,75.8,55.2,44.3,34.3,26.1,69.7,52,39.8,31,26.7
간이 음식 포장 판매 전문점,59.1,37.8,32.8,28.4,23.6,77.3,51.9,36.3,33.5,25.9,69.9,51.9,37.7,25.7,28.4
생맥주 전문점,55,35.4,20.5,13.2,11.5,70.4,48.6,36.6,18.9,13.4,68,42.7,32.7,24.4,13.3
기타 주점업,69.8,47.7,42.3,37.4,36.5,78.5,58,43.3,40,37.4,74.1,55.1,42.2,31.5,31
커피 전문점,78.4,59.3,47.5,42.9,37.8,84,67.5,56.2,47,43.6,78.1,62.3,50.8,43.3,36.6
기타 비알코올 음료점업,67.7,51.6,49.4,38.1,50.2,72.9,60.5,49.5,48.4,41.1,72.4,54.2,45.6,38.6,35.5
